fdc_id,food_name,portion_size_grams,"Fatty acids, total saturated, G","Glucose, G","Fructose, G","Energy, KCAL","Fatty acids, total monounsaturated, G","Fiber, total dietary, G","Protein, G","Fatty acids, total polyunsaturated, G","Total lipid (fat), G","Fatty acids, total trans, G","Carbohydrate, by difference, G"
326905,"Figs, dried, uncooked",78.7,0,24.8,22.9,249,0,9.8,3.3,0,0.92,0,63.9
327198,"Melons, cantaloupe, raw",276.3333333333333,0,2.08,2.4,34,0,0.8,0.82,0,0.18,0,8.16
327357,"Nectarines, raw",142,0,1.67,1.39,39,0,1.5,1.06,0,0.28,0,9.18
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",152.5,0,2.02,2.36,47,0,2,0.91,0,0.15,0,11.8
327923,"Lettuce, cos or romaine, raw",581,0,0.39,0.8,17,0,1.8,1.24,0,0.26,0,3.24
328637,"Cheese, cheddar",61,19.2,0.1,0,408,7.44,0,23.3,1.18,34,1.14,2.44
328841,"Cheese, cottage, lowfat, 2% milkfat",220,1.26,0,0,84,0.469,0,11,0.072,2.3,0.069,4.31
329370,"Cheese, mozzarella, low moisture, part-skim",86.2,11.7,0.3,0,298,4.65,0,23.7,0.744,20.4,0.705,4.44
329490,"Egg, whole, dried",39.46666666666667,0,0,0,575,0,0,48.1,0,39.8,0,1.87
329596,"Egg, yolk, raw, frozen, pasteurized",28.4,0,0,0,296,0,0,15.6,0,25.1,0,0.59
329716,"Egg, yolk, dried",33.13333333333333,0,0,0,654,0,0,34.2,0,55.5,0,1.07
329830,"Cheese, dry white, queso seco",97.3,13.7,0,0,326,5.7,0,24.5,1.06,24.3,0.877,2.07
330137,"Yogurt, Greek, plain, nonfat",156,0.108,0,0,61,0.043,0,10.3,0.011,0.37,0.005,3.64
330415,"Yogurt, Greek, strawberry, nonfat",150,0.103,0.84,2.09,83,0.029,0.6,8.06,0.021,0.15,0.002,12.2
330458,"Oil, coconut",11.6,82.5,0,0,833,6.31,0,0,1.7,99.1,0.028,0.84
330869,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",155,2.97,0,0,220,3.78,0,27.1,3.49,11.6,0.144,0
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",99.35,1.6,0,0,156,2.35,0,23.9,1.24,5.95,0.03,0
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",174,1.01,0,0,166,1.26,0,32.1,0.766,3.24,0.013,0
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",135,0.17,2.3,2.35,45,0.376,1.8,1.41,0.504,1.48,0.005,8.05
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",13.5,1.12,0,0,106,1.47,0,16.7,0.544,3.73,0.01,0.27
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",174,0,2.5,6.76,57,0,3.1,0.38,0,0.16,0,15.1
332791,"Olives, green, Manzanilla, stuffed with pimiento",3.2,2.3,0,0,130,8.86,4,1.15,0.661,12.9,0,4.96
332864,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",150.46666666666667,9.45,0,0,346,11.7,0,19.3,4.74,28.1,0.115,2.63
333008,"Cookies, oatmeal, soft, with raisins",27,4.78,7.58,11.1,430,4,3.3,5.79,4.89,14.3,0.04,69.6
333281,"Tomatoes, canned, red, ripe, diced",245,0,1.5,1.49,18,0,0,0.84,0,0.5,0,3.32
333374,"Fish, haddock, raw",176,0.093,0,0,74,0.057,0,16.3,0.163,0.45,0.004,0
333476,"Fish, pollock, raw",177,0.128,0,0,56,0.073,0,12.3,0.182,0.41,0.016,0
334194,"Fish, tuna, light, canned in water, drained solids",124.5,0.224,0,0,90,0.114,0,19,0.259,0.94,0.002,0.08
334247,"Sugars, granulated",96,0,0,0,385,0,0,0,0,0.32,0,99.6
334462,"Restaurant, Chinese, sweet and sour pork",326.4,2.68,3.01,2.85,260,3.49,1,8.88,7.05,13.6,0.087,25.5
334536,"Restaurant, Chinese, fried rice, without meat",133,0.493,0.12,0.12,174,0.588,0,3.84,1.13,3.19,0.009,32.5
334628,"Restaurant, Latino, tamale, pork",142,2.69,0,0.21,174,3.2,2.4,7.38,2.03,9.04,0.058,15.8
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",126,2.19,0,0.22,229,2.95,5.8,5.59,2.88,9.01,0.057,31.5
334849,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",284,2.56,0,0,155,2.71,0,22.8,0.364,6.39,0.306,0
334897,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",462,2.47,0,0,176,2.26,0,27.7,0.472,6.36,0.359,0
334898,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",690,0.953,0,0,122,0.951,0,23.4,0.192,2.48,0.129,0
334963,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",788,0.924,0,0,123,0.886,0,23.7,0.208,2.41,0.125,0
335061,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",360,4.68,0,0,219,4.67,0,27.3,0.514,11.4,0.594,0
335109,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",525,2.07,0,0,145,1.9,0,22.7,0.259,5.32,0.28,0
335240,"Bread, whole-wheat, commercially prepared",32.1,0.732,1.1,2.24,254,0.616,6,12.3,1.61,3.55,0.022,43.1
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",462,2.47,0,0,176,2.26,0,27.7,0.472,6.36,0.359,0
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",284,2.56,0,0,155,2.71,0,22.8,0.364,6.39,0.306,0
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",690,0.953,0,0,122,0.951,0,23.4,0.192,2.48,0.129,0
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",788,0.924,0,0,123,0.886,0,23.7,0.208,2.41,0.125,0
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",525,2.07,0,0,145,1.9,0,22.7,0.259,5.32,0.28,0
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",360,4.68,0,0,219,4.67,0,27.3,0.514,11.4,0.594,0
746765,"Cheese, dry white, queso seco",97.3,13.7,0,0,326,5.7,0,24.5,1.06,24.3,0.877,2.07
746766,"Cheese, ricotta, whole milk",150.53333333333333,6.97,0,0,157,2.56,0,7.81,0.389,11,0.351,6.86
746767,"Cheese, swiss",16.4,18.2,0,0,393,7.26,0,27,1.14,31,0.993,1.44
746768,"Figs, dried, uncooked",78.7,0,24.8,22.9,249,0,9.8,3.3,0,0.92,0,63.9
746769,"Lettuce, cos or romaine, raw",581,0,0.39,0.8,17,0,1.8,1.24,0,0.26,0,3.24
746770,"Melons, cantaloupe, raw",276.3333333333333,0,2.08,2.4,34,0,0.8,0.82,0,0.18,0,8.16
746771,"Oranges, raw, navels",152.5,0,2.02,2.36,47,0,2,0.91,0,0.15,0,11.8
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",246,0.568,0,0,43,0.21,0,3.38,0.032,0.95,0.036,5.18
746773,"Pears, raw, bartlett",174,0,2.5,6.76,57,0,3.1,0.38,0,0.16,0,15.1
746774,"Restaurant, Chinese, sweet and sour pork",326.4,2.68,3.01,2.85,260,3.49,1,8.88,7.05,13.6,0.087,25.5
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",246,0.049,0,0,34,0.017,0,3.43,0.006,0.08,0,4.92
746777,"Sauce, salsa, ready-to-serve",35.7,0,1.63,1.98,29,0,1.8,1.44,0,0.19,0,6.74
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",245,1.11,0,0,50,0.4,0,3.36,0.058,1.9,0.07,4.9
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",18.6,11.3,1,0,328,12.7,0,13.3,1.91,28.7,1.18,3.37
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",86.6,9.15,1.46,0,322,11.6,0,18.2,4.96,26.2,0.1,2.15
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",150.46666666666667,9.45,0,0,346,11.7,0,19.3,4.74,28.1,0.115,2.63
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",249,1.86,0,0,60,0.688,0,3.27,0.108,3.2,0.112,4.63
746783,"Sausage, turkey, breakfast links, mild, raw",238.95,2.53,0,0,169,3.07,0,16.7,3.15,10.4,0.104,0.93
746784,"Sugars, granulated",96,0,0,0,385,0,0,0,0,0.32,0,99.6
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",155,2.97,0,0,220,3.78,0,27.1,3.49,11.6,0.144,0
746952,"Ham, sliced, restaurant",16.2,1.25,1.8,0,121,1.6,0,19.6,0.675,3.68,0.017,2.36
747429,"Cheese, American, restaurant",16,17.7,0.01,0,375,6.62,0,17.5,1.23,31.1,1.01,6.35
747447,"Broccoli, raw",76,0.039,0.58,0.82,31,0.011,2.4,2.57,0.017,0.34,0,6.27
747997,"Eggs, Grade A, Large, egg white",34,0,0,0,55,0,0,10.7,0,0,0,2.36
748236,"Eggs, Grade A, Large, egg yolk",17,0,0,0,334,0,0,16.2,0,28.8,0,1.02
748278,"Oil, canola",90.9,6.61,0,0,0,62.6,0,0,25.3,0,0,0
748323,"Oil, corn",91.3,13.4,0,0,0,27.7,0,0,52.9,0,0,0
748366,"Oil, soybean",91.3,14.9,0,0,0,22.1,0,0,57.6,0,0,0
748608,"Oil, olive, extra virgin",90.7,15.4,0,0,0,69.2,0,0,9.07,0,0,0
748967,"Eggs, Grade A, Large, egg whole",50.3,3.2,0.2,0,148,3.63,0,12.4,1.82,9.96,0,0.96
749420,"Pork, cured, bacon, cooked, restaurant",6.3,12.6,0.04,0.01,500,15.8,0,40.9,6,36.5,0.15,2.1
790577,"Onions, red, raw",197,0,2.29,1.79,44,0,2.2,0.94,0,0.1,0,9.93
790646,"Onions, yellow, raw",143,0,2.31,1.91,38,0,1.9,0.83,0,0.05,0,8.61
790774,"Bananas, overripe, raw",110,0,0,0,85,0,1.7,0.73,0,0.22,0,20.1
790991,"Bananas, ripe and slightly ripe, raw",115,0,0,0,97,0,1.7,0.74,0,0.29,0,23
1105073,"Bananas, overripe, raw",110,0,7,6.7,85,0,1.7,0.73,0,0.22,0,20.1
1105314,"Bananas, ripe and slightly ripe, raw",115,0,5.55,6.09,97,0,1.7,0.74,0,0.29,0,23
