food_name,"Thiamin, mg","Riboflavin, mg","Folate, total, µg","Protein, g","Ash, g","Fructose, g","Lactose, g","Energy, kJ","Fiber, total dietary, g","Iron, Fe, mg","Magnesium, Mg, mg","Phosphorus, P, mg","Sodium, Na, mg","Copper, Cu, mg","Manganese, Mn, mg","Niacin, mg","Vitamin B-6, mg","Total lipid (fat), g","Carbohydrate, by difference, g","Energy, kcal","Sucrose, g","Glucose, g","Maltose, g","Water, g","Calcium, Ca, mg","Potassium, K, mg","Zinc, Zn, mg","Selenium, Se, Âµg","Nitrogen, g","Sugars, Total, g"
"Almond butter, creamy",0.095,0,42.5,20.8,3.18,0,0,0,9.72,4.11,268,507,0.996,0.975,2.14,3.91,0.084,53,21.2,0,0,0,0,1.75,264,745,3.18,0.794,4.01,0
"Flaxseed, ground",0.537,0,41.4,18,3.52,0,0,0,23.1,5.78,372,556,36.7,1.34,2.4,3.76,0.393,37.3,34.4,0,0,0,0,6.8,230,793,4.74,136,3.4,0
"Cottage cheese, full fat, large or small curd",0.052,0,0,11.6,1.45,0,0,0,0,0,9.19,154,350,0,0,0.138,0.047,4.22,4.6,0,0,0,0,78.1,88.3,124,0.454,0,1.82,0
"Cream cheese, full fat, block",0.038,0,0,5.79,1.44,0,0,0,0,0,8.91,108,368,0,0,0.092,0.039,33.5,4.56,0,0,0,0,54.7,97.1,125,0.589,0,0.908,0
"Cream, heavy",0.032,0,0,2.02,0.492,0,0,0,0,0,5.97,57,20.6,0,0,0.061,0.031,35.6,3.8,0,0,0,0,58.1,61.2,96.9,0.223,0,0.316,0
"Cream, sour, full fat",0.043,0,0,3.07,0.804,0,0,0,0,0,10.1,102,50,0,0,0.1,0.038,18,5.56,0,0,0,0,72.6,107,154,0.392,0,0.481,0
"Lettuce, iceberg, raw",0.056,0,0,0.742,0.315,0,0,0,0,0.033,6.31,19.2,16.1,0.033,0.082,0.218,0.04,0.074,3.37,0,0,0,0,95.5,14.2,139,0.173,0,0.119,0
"Lettuce, romaine, green, raw",0.063,0,0,0.977,0.606,0,0,0,0,0.267,12,23.4,23,0.049,0.227,0.371,0.063,0.071,4.06,0,0,0,0,94.3,27.6,260,0.252,0,0.156,0
"Lettuce, leaf, red, raw",0.061,0,0,0.883,0.7,0,0,0,0,0.402,12.4,24.4,24.9,0.038,0.177,0.329,0.074,0.106,3.26,0,0,0,0,95,42.6,321,0.303,0,0.141,0
"Lettuce, leaf, green, raw",0.082,0,0,1.09,0.674,0,0,0,0,0.32,12.8,26.6,28.9,0.04,0.156,0.375,0.071,0.156,4.07,0,0,0,0,94,39.8,277,0.31,0,0.175,0
"Nuts, pine nuts, raw",0.625,0,0,15.7,2.51,0,0,0,3.94,5.36,206,540,0,1.12,10.2,4.47,0.255,61.3,18.6,0,0,0,0,1.92,8.74,655,5.71,0,2.96,0
"Nuts, almonds, whole, raw",0.16,0,0,21.5,3.16,0,0,0,10.8,3.74,258,503,0,0.91,2.15,3.77,0.101,51.1,20,0,0,0,0,4.26,254,733,2.86,0,4.14,0
"Nuts, walnuts, English, halves, raw",0.23,0,0,14.6,1.64,0,0,0,5.21,2.24,142,365,0,1.21,3,1.22,0.66,69.7,10.9,0,0,0,0,3.14,88.3,424,2.76,0,2.75,0
"Nuts, pecans, halves, raw",0.548,0,0,9.96,1.44,0,0,0,5.79,2.37,103,253,0,0.906,2.28,0.946,0.171,73.3,12.7,0,0,0,0,2.62,54.8,360,3.93,0,1.88,0
"Oats, whole grain, rolled, old fashioned",0.406,0,32,13.5,1.71,0,0,0,0,4.34,126,387,0.668,0.428,3.23,0.993,0.135,5.89,68.7,0,0,0,0,10.2,45.5,350,2.74,25.4,2.32,0
"Oats, whole grain, steel cut",0.334,0,30,12.5,1.8,0,0,0,0,3.8,129,417,0.311,0.411,3.41,0.926,0.119,5.8,69.8,0,0,0,0,10.1,51.3,376,2.84,29,2.15,0
"Pineapple, raw",0.064,0,0,0.461,0.246,4.05,0,0,0.935,0.054,13.4,5.42,0,0.095,0.866,0.228,0.11,0.211,14.1,0,3.46,3.91,0,85,12.5,137,0.107,0,0.074,11.4
"Cherries, sweet, dark red, raw",0,0,0,1.04,0.425,5.51,0,0,0,0.105,12.1,23.2,0,0.069,0.073,0,0.049,0.192,16.2,0,0,8.36,0,82.2,12.3,230,0.065,0,0.166,13.9
"Beans, snap, green, raw",0.06,0,0,1.97,0.684,0.926,0,0,3.01,0.652,28.2,41.2,0,0.098,0.332,0.731,0.121,0.275,7.41,0,0.077,1.33,0,89.7,40,290,0.35,0,0.315,2.33
"Potatoes, russet, without skin, raw",0.074,0,0,2.27,0.985,0.292,0,0,0,0.384,25.6,55.2,2.74,0.091,0.152,1.5,0.157,0.36,17.8,0,0.072,0.161,0,78.6,7.8,450,0.378,0,0.364,0.526
"Potatoes, red, without skin, raw",0.066,0,0,2.06,0.95,0.219,0,0,0,0.391,23.6,55.6,2.86,0.091,0.165,1.48,0.144,0.248,16.3,0,0.261,0.184,0,80.5,5.13,472,0.392,0,0.33,0.664
"Potatoes, gold, without skin, raw",0.051,0,0,1.81,0.891,0.308,0,0,0,0.373,22.3,57,2.24,0.13,0.16,1.58,0.145,0.264,16,0,0.126,0.211,0,81.1,5.94,446,0.374,0,0.29,0.645
"Sweet potatoes, orange flesh, without skin, raw",0.045,0,0,1.58,1.18,0.928,0,0,0,0.398,19.1,36.7,0,0.187,0.417,0.432,0.124,0.375,17.3,0,3.06,0.976,1.1,79.5,22.3,486,0.337,0,0.252,6.06
"Celery, raw",0,0,0,0.492,0.829,0,0,0,0,0,10.9,21.6,97.2,0,0.076,0,0.052,0.162,3.32,0,0,0,0,95.2,46.3,265,0.093,0,0.079,0
"Cucumber, with peel, raw",0,0,0,0.625,0.375,0,0,0,0,0,10.1,23.2,1.52,0.063,0.085,0,0,0.178,2.95,0,0,0,0,95.9,16.3,170,0.204,0,0.1,0
"Cabbage, green, raw",0,0,0,0.961,0.558,0,0,0,0,0.066,13.9,26.9,16.1,0,0.248,0,0.138,0.228,6.38,0,0,0,0,91.9,41.8,207,0.211,0,0.154,0
"Cabbage, red, raw",0,0,0,1.24,0.614,0,0,0,0,0,13.3,35.8,11.7,0.004,0.309,0,0.179,0.214,6.79,0,0,0,0,91.1,31,269,0.245,0,0.199,0
"Strawberries, raw",0,0,0,0.641,0.345,2.62,0,0,0,0.255,12.5,23,0,0.035,0.368,0,0,0.22,7.96,0,0,2.24,0,90.8,16.9,161,0.114,0,0.102,4.86
"Raspberries, raw",0,0,0,1.01,0.35,1.68,0,0,0,0.45,19.2,27.5,0,0.053,0.494,0,0,0.188,12.9,0,0,0.992,0,85.6,16.4,156,0.221,0,0.161,2.68
"Blueberries, raw",0,0,0,0.703,0.229,4.94,0,0,0,0.34,6.18,13,0,0.046,0.423,0,0,0.306,14.6,0,0,4.42,0,84.2,11.7,85.6,0.085,0,0.112,9.36
"Grapes, red, seedless, raw",0,0,0,0.914,0.535,9.17,0,0,0,0.162,8.56,24.9,7,0.081,0.098,0,0,0.164,20.2,0,0,8.17,0,78.2,10.2,229,0.036,0,0.146,17.3
"Grapes, green, seedless, raw",0,0,0,0.899,0.385,8.65,0,0,0,0.199,7.12,22,3.17,0.061,0.084,0,0,0.232,18.6,0,0,7.49,0,79.9,9.9,218,0.027,0,0.144,16.1
"Applesauce, unsweetened, with added vitamin C",0,0,0,0.273,0.202,5.86,0,0,0,0.045,3.94,9.12,0.504,0.039,0.037,0,0,0.162,12.3,0,1.36,2.45,0,87.1,3.82,108,0.003,0,0.044,9.66
